pair,fold,selected_features,test_MSE
1,1,"32,33,36,41",0.10126582278481013
1,2,"32,33,36,41,55",0.12025316455696203
1,3,"32,33,36,41",0.0949367088607595
1,4,"32,41",0.11464968152866242
1,5,"32,33,36,41",0.10191082802547771
1,6,"31,32,36,41,55",0.1337579617834395
1,7,"32,33,36,41",0.09554140127388536
1,8,"32,33,35,36,41,55",0.06369426751592357
1,9,"32,36,41",0.07643312101910828
1,10,"32,33,36,41,55",0.12101910828025478
2,1,"0,1,2,5,9,10,16,40",0.1346153846153846
2,2,2,0.23076923076923078
2,3,"1,2,5,10",0.1858974358974359
2,4,"1,2,5,10,22",0.1346153846153846
2,5,"2,5",0.2564102564102564
2,6,"2,5",0.1987179487179487
2,7,"1,2,5,10",0.16025641025641027
2,8,"0,1,2,5,9,10,16",0.14102564102564102
2,9,"1,2,5,10",0.14743589743589744
2,10,"1,2,5",0.19230769230769232
3,1,"30,51",0.024691358024691357
3,2,"30,51",0.037037037037037035
3,3,"30,51",0.031055900621118012
3,4,"30,31,51",0.012422360248447204
3,5,"30,31,51",0.006211180124223602
3,6,"30,31,51",0.024844720496894408
3,7,"30,51",0.024844720496894408
3,8,"30,31,51",0.037267080745341616
3,9,"3,30,51",0.031055900621118012
3,10,"30,51",0.031055900621118012
4,1,"5,6,41",0.3141025641025641
4,2,"5,6",0.28205128205128205
4,3,"5,6,41",0.28205128205128205
4,4,"5,6",0.3076923076923077
4,5,"5,6",0.34615384615384615
4,6,"5,6,41",0.36538461538461536
4,7,"5,6",0.3333333333333333
4,8,"5,6",0.27564102564102566
4,9,"5,6",0.30128205128205127
4,10,"5,6,41",0.3269230769230769
